iter	Passed	Remaining
0	621	620431
1	964	481122
2	1318	438219
3	1738	432895
4	2113	420621
5	2464	408263
6	2872	407552
7	3263	404672
8	3653	402276
9	4035	399465
10	4437	398965
11	4755	391531
12	5172	392679
13	5514	388373
14	5952	390902
15	6210	381959
16	6588	380990
17	6919	377481
18	7283	376063
19	7678	376245
20	8023	374038
21	8394	373189
22	8779	372928
23	9202	374223
24	9495	370337
25	9916	371495
26	10318	371848
27	10706	371682
28	11081	371046
29	11400	368607
30	11822	369563
31	12209	369327
32	12570	368343
33	12888	366172
34	13316	367147
35	13729	367653
36	14093	366818
37	14458	366031
38	14891	366952
39	15296	367106
40	15697	367168
41	16099	367223
42	16481	366819
43	16920	367645
44	17321	367608
45	17724	367580
46	18121	367435
47	18506	367052
48	18898	366791
49	19201	364837
50	19637	365411
51	20001	364635
52	20425	364969
53	20771	363883
54	21136	363159
55	21499	362418
56	21916	362590
57	22276	361798
58	22751	362860
59	23149	362669
60	23495	361680
61	23864	361052
62	24295	361340
63	24604	359840
64	25036	360142
65	25446	360108
66	25785	359067
67	26226	359460
68	26557	358328
69	26987	358551
70	27407	358615
71	27745	357614
72	28144	357398
73	28525	356950
74	28916	356641
75	29306	356302
76	29705	356075
77	30031	354985
78	30402	354437
79	30801	354217
80	31209	354096
81	31598	353748
82	31990	353439
83	32393	353240
84	32765	352711
85	33145	352262
86	33513	351701
87	33866	350979
88	34312	351218
89	34690	350759
90	35089	350513
91	35420	349584
92	35816	349303
93	36223	349130
94	36616	348818
95	37000	348418
96	37393	348109
97	37697	346973
98	38100	346757
99	38456	346110
100	38865	345940
101	39279	345814
102	39677	345539
103	39990	344531
104	40378	344179
105	40759	343764
106	41165	343562
107	41573	343370
108	41979	343156
109	42369	342810
110	42682	341840
111	43077	341541
112	43459	341134
113	43853	340824
114	44244	340492
115	44565	339620
116	44937	339147
117	45295	338566
118	45728	338544
119	46137	338338
120	46457	337490
121	46835	337059
122	47254	336930
123	47576	336107
124	48012	336084
125	48429	335928
126	48743	335066
127	49165	334940
128	49498	334214
129	49875	333781
130	50242	333291
131	50622	332879
132	51060	332850
133	51383	332072
134	51750	331585
135	52121	331121
136	52495	330684
137	52929	330619
138	53233	329741
139	53605	329291
140	54007	329021
141	54379	328573
142	54726	327979
143	55130	327720
144	55467	327065
145	55852	326698
146	56275	326552
147	56677	326277
148	57062	325907
149	57443	325512
150	57771	324822
151	58123	324269
152	58505	323881
